BroadcastDTtm,Buy_Sell,Company_Name,FLD_MODE,Flag,Fld_AcqSoldDateFrom,Fld_AcqSoldDateTo,Insider_name,Modified_date,Perc_After,Perc_of_Buysell,Quantity,Quantity_after,scrip_code,transaction_date
2015-05-20T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-13T00:00:00,2015-05-13T00:00:00,K Balasubramanian,08 Jun 2015,,,500,100,500325.0,13/05/2015
2015-05-20T00:00:00,S,Reliance Industries Ltd,Market,13(6),2014-11-28T00:00:00,2014-11-28T00:00:00,K Balasubramanian,08 Jun 2015,,,500,600,500325.0,28/11/2014
2015-05-15T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-13T00:00:00,2015-05-13T00:00:00,K Balasubramanian,08 Jun 2015,,,500,100,500325.0,13/05/2015
2015-05-15T00:00:00,S,Reliance Industries Ltd,Market,13(4),2014-11-28T00:00:00,2014-11-28T00:00:00,K Balasubramanian,08 Jun 2015,,,500,600,500325.0,28/11/2014
2015-05-14T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-11T00:00:00,2015-05-11T00:00:00,Ajit Kumar Chaudhry,08 Jun 2015,,,1000,3744,500325.0,11/05/2015
2015-05-14T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-08T00:00:00,2015-05-08T00:00:00,Ajit Kumar Chaudhry,08 Jun 2015,,,500,4744,500325.0,08/05/2015
2015-05-14T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-20T00:00:00,2015-04-20T00:00:00,Ajit Kumar Chaudhry,08 Jun 2015,,,200,5244,500325.0,20/04/2015
2015-05-13T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-11T00:00:00,2015-05-11T00:00:00,Ajit Kumar Chaudhry,08 Jun 2015,,,1000,3744,500325.0,11/05/2015
2015-05-13T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-08T00:00:00,2015-05-08T00:00:00,Ajit Kumar Chaudhry,08 Jun 2015,,,500,4744,500325.0,08/05/2015
2015-05-13T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-08T00:00:00,2015-05-08T00:00:00,Prakash Chandra Lohia,08 Jun 2015,,,200,4214,500325.0,08/05/2015
2015-05-13T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-08T00:00:00,2015-05-08T00:00:00,Rajiv Ranjan,08 Jun 2015,,,400,5200,500325.0,08/05/2015
2015-05-13T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-08T00:00:00,2015-05-08T00:00:00,Supriyo Sen,08 Jun 2015,,,1450,5120,500325.0,08/05/2015
2015-05-13T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-04T00:00:00,2015-05-04T00:00:00,Prakash Chandra Lohia,08 Jun 2015,,,200,4414,500325.0,04/05/2015
2015-05-13T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Prakash Chandra Lohia,08 Jun 2015,,,300,4614,500325.0,28/04/2015
2015-05-13T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-20T00:00:00,2015-04-20T00:00:00,Ajit Kumar Chaudhry,08 Jun 2015,,,200,5244,500325.0,20/04/2015
2015-05-13T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-02-04T00:00:00,2015-02-04T00:00:00,Rajiv Ranjan,08 Jun 2015,,,500,5600,500325.0,04/02/2015
2015-05-12T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-08T00:00:00,2015-05-08T00:00:00,Supriyo Sen,08 Jun 2015,,,1450,5120,500325.0,08/05/2015
