sDesignation,sFirstname,sLastname,sMiddlename,sPrefix
Executive Director-Chairperson-MD,Mukesh D. Ambani,,,Mr.
Chief Financial Officer,Alok,Agarwal,, 
Executive Director,Nikhil R. Meswani,,,Mr.
Vice President - Corporate Secretarial,S,Sudhakar,, 
Executive Director,Hital R. Meswani,,,Mr.
Executive Director,P. M. S. Prasad,,,Mr.
Joint Chief Financial Officer,Srikanth,Venkatachari,, 
Chief Investor Relations Officer,Hemen,Modi,, 
Executive Director,Pawan Kumar Kapil,,,Mr.
Non-Executive - Independent Director,Yogendra P. Trivedi,,,Mr.
Non-Executive - Independent Director,Dipak C. Jain,,,Mr.
Non-Executive - Independent Director,Raghunath A. Mashelkar,,,Mr.
Non-Executive - Independent Director,Adil Zainulbhai,,,Mr.
Non-Executive - Non Independent Director,Nita M. Ambani,,,Mrs.
Non-Executive - Independent Director,Raminder Singh Gujral,,,Mr.
Non-Executive - Independent Director,Shumeet Banerji,,,Mr.
Non-Executive - Independent Director,Arundhati Bhattacharya,,,Mrs.
Non-Executive - Non Independent Director,K. V. Chowdary,,,Mr.
Joint Company Secretary & Compliance Officer,Smt. Savithri,Parekh,, 
Group Company Secretary & Chief Compliance Officer,K,Sethuraman,, 
