Acq_Sale,Acq_sale_Pct,Acq_sale_qty,Acquisition_After,Acquisition_Pct_After,Acquisition_date,Company_Name,FLD_MODE,Fld_AcqSoldDateFrom,Fld_NameOfPG,Fld_TotDilPerAfterAcq,NEWDT,flag,modify_date,ord,scrip_code,shareholdername
ACQ,1.37,86552244,,,25/03/2020,RELIANCE INDUSTRIES LTD.,,2020-03-25T00:00:00,,,2020-04-02T00:00:00,10(6)     ,2020-04-03T15:58:33,25/03/2020,500325.0,Tattavam Enterprises LLP & Others
SALE,1.37,86552244,508166996,8.01,27/03/2020,RELIANCE INDUSTRIES LTD.,Inter-se Transfer,2020-03-27T00:00:00,Yes,8.01,2020-03-31T00:00:00,29(2)     ,2020-04-02T10:15:46,27/03/2020,500325.0,Devarshi Commercials LLP
ACQ,0.01,771220,7500000,0.12,27/03/2020,RELIANCE INDUSTRIES LTD.,Inter-se Transfer,2020-03-27T00:00:00,Yes,0.12,2020-03-31T00:00:00,29(2)     ,2020-04-02T12:30:31,27/03/2020,500325.0,Ms. Isha M Ambani
ACQ,0.01,773620,7500000,0.12,27/03/2020,RELIANCE INDUSTRIES LTD.,Inter-se Transfer,2020-03-27T00:00:00,Yes,0.12,2020-03-31T00:00:00,29(2)     ,2020-04-02T12:27:44,27/03/2020,500325.0,Shri Akash M Ambani
ACQ,0.12,7300000,7500000,0.12,27/03/2020,RELIANCE INDUSTRIES LTD.,Inter-se Transfer,2020-03-27T00:00:00,Yes,0.12,2020-03-31T00:00:00,29(2)     ,2020-04-02T12:34:41,27/03/2020,500325.0,Shri Anant M Ambani
ACQ,0.01,268308,7500000,0.12,27/03/2020,RELIANCE INDUSTRIES LTD.,Inter-se Transfer,2020-03-27T00:00:00,Yes,0.12,2020-03-31T00:00:00,29(2)     ,2020-04-02T12:22:13,27/03/2020,500325.0,Shri Mukesh D Ambani
ACQ,0.01,703708,7500000,0.12,27/03/2020,RELIANCE INDUSTRIES LTD.,Inter-se Transfer,2020-03-27T00:00:00,Yes,0.12,2020-03-31T00:00:00,29(2)     ,2020-04-02T12:24:56,27/03/2020,500325.0,Smt. Nita M Ambani
ACQ,1.21,76735388,508166996,8.01,27/03/2020,RELIANCE INDUSTRIES LTD.,Inter-se Transfer,2020-03-27T00:00:00,Yes,8.01,2020-03-31T00:00:00,29(2)     ,2020-04-02T12:18:17,27/03/2020,500325.0,Tattvam Enterprises LLP
ACQ,1.83,116081170,,,25/03/2020,RELIANCE INDUSTRIES LTD.,,2020-03-25T00:00:00,,,2020-03-30T00:00:00,10(6)     ,2020-04-01T10:59:28,25/03/2020,500325.0,Samarjit Commercials LLP 
SALE,1.83,116081170,594719240,9.38,25/03/2020,RELIANCE INDUSTRIES LTD.,Inter-se Transfer,2020-03-25T00:00:00,Yes,9.38,2020-03-27T00:00:00,29(2)     ,2020-03-31T16:44:04,25/03/2020,500325.0,Devarshi Commercials LLP
